event_id,time_s,device,evidence,observed_packets,protocols,reasoning,likely_activity,confidence
ECHO-001,0.0,echo,broadcast traffic to 255.255.255.255,1539,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (255.255.255.255),High
ECHO-002,0.0,echo,broadcast traffic to 192.168.2.255,617,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (192.168.2.255),High
ECHO-003,0.0,echo,multicast traffic to 224.0.0.251,512,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (224.0.0.251),High
ECHO-004,0.0,echo,multicast traffic to 224.0.0.22,13,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (224.0.0.22),High
ECHO-005,0.0,echo,broadcast traffic to 192.168.69.255,11,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (192.168.69.255),High
ECHO-006,0.0,echo,multicast traffic to 224.0.0.2,3,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (224.0.0.2),High
ECHO-007,0.0,echo,"4 connections to 52.94.228.52, mean interval 5185.54s (CV=0.298)",4,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 52.94.228.52,High
ECHO-008,0.0,echo,"4 connections to 54.239.29.194, mean interval 5017.73s (CV=0.399)",4,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 54.239.29.194,High
ECHO-009,0.0,echo,"4 connections to 72.21.207.87, mean interval 5785.53s (CV=0.182)",4,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 72.21.207.87,High
ECHO-010,0.0,echo,500 DNS/TLS-SNI records classified as Amazon / AWS / Alexa,500,DNS / TLS SNI,"Hostname matches a known vendor or cloud/CDN domain pattern, indicating the device or its traffic is served by that provider.",Cloud service contact: Amazon / AWS / Alexa,Medium
ECHO-011,0.0,echo,338 DNS/TLS-SNI records classified as mDNS / local service discovery,338,DNS / TLS SNI,"Hostname matches a known vendor or cloud/CDN domain pattern, indicating the device or its traffic is served by that provider.",Cloud service contact: mDNS / local service discovery,Medium
ECHO-012,0.0,echo,4 DNS/TLS-SNI records classified as NTP pool,4,DNS / TLS SNI,"Hostname matches a known vendor or cloud/CDN domain pattern, indicating the device or its traffic is served by that provider.",Cloud service contact: NTP pool,Medium
ECHO-013,0.0,echo,2 DNS/TLS-SNI records classified as Google,2,DNS / TLS SNI,"Hostname matches a known vendor or cloud/CDN domain pattern, indicating the device or its traffic is served by that provider.",Cloud service contact: Google,Medium
ECHO-014,0.0,echo,"86 TLS ClientHellos, 7 distinct JA3 fingerprints (dominant: 69415598724855f70b37da9f653ec421 x37)",86,TLS (ClientHello),A single JA3 fingerprint reused across many destination IPs indicates one underlying TLS client implementation drives most cloud communication; additional distinct fingerprints indicate separate software components/libraries on the device making independent TLS connections.,Device TLS-stack fingerprinting (7 distinct client profiles),Medium
ECHO-015,750.0,echo,"Burst: 360382 packets over 110s, dominant endpoint 192.168.2.3",360382,Mixed (see top conversation),"Sustained high packet-rate window (z-score threshold exceeded for a continuous run) immediately preceded/accompanied by a DNS or TLS-SNI lookup for 'softwareupdates.amazon.com', a hostname matching a known software/firmware-update naming pattern. The named-service lookup directly preceding a large sustained transfer is treated as corroborating evidence, not volume/timing alone.",Likely software/firmware update (corroborated by DNS/SNI lookup: softwareupdates.amazon.com),High
ECHO-016,3600.0,echo,"Burst: 4348 packets over 10s, dominant endpoint 192.168.2.3",4348,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
