event_id,time_s,device,evidence,observed_packets,protocols,reasoning,likely_activity,confidence
HUE-001,0.0,hue,multicast traffic to 239.255.255.250,9048,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (239.255.255.250),High
HUE-002,0.0,hue,"27 connections to 216.239.35.12, mean interval 2993.16s (CV=0.44)",27,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 216.239.35.12,High
HUE-003,0.0,hue,"26 connections to 216.239.35.8, mean interval 3081.99s (CV=0.4)",26,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 216.239.35.8,High
HUE-004,0.0,hue,"26 connections to 216.239.35.4, mean interval 3106.33s (CV=0.398)",26,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 216.239.35.4,High
HUE-005,0.0,hue,"25 connections to 216.239.35.0, mean interval 3186.02s (CV=0.374)",25,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 216.239.35.0,High
HUE-006,0.0,hue,"22 connections to 52.215.95.120, mean interval 3428.58s (CV=0.223)",22,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 52.215.95.120,High
HUE-007,0.0,hue,"21 connections to 52.209.221.67, mean interval 3600.01s (CV=0.0)",21,TCP/TLS,Low coefficient of variation in inter-connection intervals indicates a programmatically scheduled check-in rather than user-driven activity.,Heartbeat / background cloud synchronisation with 52.209.221.67,High
HUE-008,0.0,hue,382 DNS/TLS-SNI records classified as Philips / Hue vendor cloud,382,DNS / TLS SNI,"Hostname matches a known vendor or cloud/CDN domain pattern, indicating the device or its traffic is served by that provider.",Cloud service contact: Philips / Hue vendor cloud,Medium
HUE-009,630.0,hue,"Burst: 12 packets over 10s, dominant endpoint 239.255.255.250",12,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-010,1530.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-011,3320.0,hue,"Burst: 46 packets over 20s, dominant endpoint 239.255.255.250",46,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-012,4230.0,hue,"Burst: 12 packets over 10s, dominant endpoint 239.255.255.250",12,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-013,5130.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-014,6030.0,hue,"Burst: 12 packets over 10s, dominant endpoint 239.255.255.250",12,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-015,6920.0,hue,"Burst: 51 packets over 20s, dominant endpoint 239.255.255.250",51,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-016,7410.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-017,8730.0,hue,"Burst: 13 packets over 10s, dominant endpoint 239.255.255.250",13,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-018,10520.0,hue,"Burst: 46 packets over 20s, dominant endpoint 239.255.255.250",46,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-019,11430.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-020,12330.0,hue,"Burst: 13 packets over 10s, dominant endpoint 239.255.255.250",13,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
HUE-021,13230.0,hue,"Burst: 11 packets over 10s, dominant endpoint 239.255.255.250",11,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
