event_id,time_s,device,evidence,observed_packets,protocols,reasoning,likely_activity,confidence
SOMFY-001,0.0,somfy,broadcast traffic to 255.255.255.255,287,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (255.255.255.255),High
SOMFY-002,0.0,somfy,multicast traffic to 224.0.0.1,1,SSDP/mDNS/ARP (L2 broadcast or multicast),"Broadcast/multicast addressing is, by protocol definition, used for local service discovery and presence advertisement, not directed application data.",Device discovery / local service advertisement (224.0.0.1),High
SOMFY-003,0.0,somfy,88 DNS/TLS-SNI records classified as mDNS / local service discovery,88,DNS / TLS SNI,"Hostname matches a known vendor or cloud/CDN domain pattern, indicating the device or its traffic is served by that provider.",Cloud service contact: mDNS / local service discovery,Medium
SOMFY-004,0.0,somfy,12 DNS/TLS-SNI records classified as NTP pool,12,DNS / TLS SNI,"Hostname matches a known vendor or cloud/CDN domain pattern, indicating the device or its traffic is served by that provider.",Cloud service contact: NTP pool,Medium
SOMFY-005,0.0,somfy,4 DNS/TLS-SNI records classified as Somfy vendor cloud,4,DNS / TLS SNI,"Hostname matches a known vendor or cloud/CDN domain pattern, indicating the device or its traffic is served by that provider.",Cloud service contact: Somfy vendor cloud,Medium
SOMFY-006,0.0,somfy,"1 TLS ClientHellos, 1 distinct JA3 fingerprints (dominant: 046a35a24aa83eb9e0e61c49a46427b9 x1)",1,TLS (ClientHello),A single JA3 fingerprint reused across many destination IPs indicates one underlying TLS client implementation drives most cloud communication; additional distinct fingerprints indicate separate software components/libraries on the device making independent TLS connections.,Device TLS-stack fingerprinting (1 distinct client profiles),Medium
SOMFY-007,130.0,somfy,Idle interval: 350s with only 29 packets,29,Background/keepalive only,Packet rate at or below baseline for a sustained period indicates no active user interaction; only incidental background traffic present.,Idle state,High
SOMFY-008,480.0,somfy,"Burst: 108 packets over 20s, dominant endpoint 192.168.1.158",108,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-009,710.0,somfy,"Burst: 35 packets over 10s, dominant endpoint 192.168.1.158",35,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-010,780.0,somfy,"Burst: 25 packets over 10s, dominant endpoint 192.168.1.158",25,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-011,860.0,somfy,"Burst: 36 packets over 10s, dominant endpoint 192.168.1.158",36,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-012,930.0,somfy,"Burst: 30 packets over 10s, dominant endpoint 192.168.1.158",30,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-013,1000.0,somfy,"Burst: 36 packets over 10s, dominant endpoint 192.168.1.158",36,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-014,1070.0,somfy,"Burst: 34 packets over 10s, dominant endpoint 192.168.1.158",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-015,1140.0,somfy,"Burst: 24 packets over 10s, dominant endpoint 192.168.1.158",24,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-016,1210.0,somfy,"Burst: 25 packets over 10s, dominant endpoint 192.168.1.158",25,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-017,1430.0,somfy,"Burst: 30 packets over 10s, dominant endpoint 192.168.1.158",30,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-018,1570.0,somfy,"Burst: 24 packets over 10s, dominant endpoint 192.168.1.158",24,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-019,1710.0,somfy,"Burst: 26 packets over 10s, dominant endpoint 192.168.1.158",26,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-020,1790.0,somfy,"Burst: 26 packets over 10s, dominant endpoint 192.168.1.158",26,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-021,1930.0,somfy,"Burst: 34 packets over 10s, dominant endpoint 192.168.1.158",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-022,2000.0,somfy,"Burst: 34 packets over 10s, dominant endpoint 192.168.1.158",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-023,2070.0,somfy,"Burst: 34 packets over 10s, dominant endpoint 192.168.1.158",34,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-024,2140.0,somfy,"Burst: 36 packets over 10s, dominant endpoint 192.168.1.158",36,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
SOMFY-025,2340.0,somfy,"Burst: 24 packets over 10s, dominant endpoint 192.168.1.158",24,Mixed (see top conversation),"Short-duration packet-rate spike above baseline. Consistent with a single short interaction, a status poll response, or a brief control message exchange.",Possible short user interaction or control-message exchange,Low
